IDLavorazione,IDArticolo,IDParam,Tipo_Param,Attrezzi_Param,Impostazione_Param,Param1,Param2,Param3,OP,DOC,DUM,Param4,Param5,Param6,Param7,Param8,Param9
SAL,B62316,188,T110 TIG,180,sal stagno pulire etsr.,,,,ALESSANDRO,04/10/2021 17:24:48,04/10/2021 17:25:09,,,,,,
SAL,B62316_09,189,MICORMIG 350,1.8,sal angoli e pulire,,,,ALESSANDRO,04/10/2021 17:25:54,04/10/2021 17:26:08,,,,,,
SAL,OV313654,191,MICORMIG 350,1.8,sal angoli e pulire,,,,ALESSANDRO,05/10/2021 09:10:20,05/10/2021 09:10:32,,,,,,
SAL,FNX0253011,195,MICORMIG 350,3.0,sal angoli e pulire,,,,ALESSANDRO,05/10/2021 12:43:30,05/10/2021 12:44:11,,,,,,
SAL,FNY8152342,196,MICORMIG 350,3.0,sal strappi,,,,ALESSANDRO,05/10/2021 12:44:25,05/10/2021 12:44:40,,,,,,
SAL,40003865C,206,MICORMIG 350,3.0,sal angoli e pulire,,,,ALESSANDRO,06/10/2021 17:09:47,06/10/2021 17:10:16,,,,,,
SAL,40003865C,207,MICORMIG 350,3.0,sal angoli e pulire,,,,ALESSANDRO,06/10/2021 17:10:16,06/10/2021 17:11:07,,,,,,
SAL,1214A1650,213,MICORMIG 350,1.8,sal angoli e pulire,,,,ALESSANDRO,07/10/2021 09:49:23,07/10/2021 09:49:39,,,,,,
SAL,1214A1680,214,MICORMIG 350,1.8,sal angoli e pulire,,,,ALESSANDRO,07/10/2021 12:13:36,07/10/2021 12:13:49,,,,,,
SAL,FNX2286070,215,MICORMIG 350,1.8,sal angoli e pulire,,,,ALESSANDRO,07/10/2021 12:24:41,07/10/2021 12:24:55,,,,,,
SAL,50021833,216,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,07/10/2021 12:45:06,07/10/2021 12:45:24,,,,,,
SAL,50021835,217,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,07/10/2021 12:45:44,07/10/2021 12:45:57,,,,,,
SAL,05L0231305H,220,MICORMIG 350,1.8,sal stagno,,,,ALESSANDRO,07/10/2021 16:16:31,07/10/2021 16:17:04,,,,,,
SAL,FNY8533816,224,MICORMIG 350,1.8,sal angoli e pulire,,,,ALESSANDRO,08/10/2021 12:18:41,08/10/2021 12:18:54,,,,,,
SAL,FNX2281600,225,MICORMIG 350,1.8,sal angoli e pulire,,,,ALESSANDRO,08/10/2021 12:23:33,08/10/2021 12:23:44,,,,,,
SAL,FNY8200448,226,MICORMIG 350,3.0,sal stagno,,,,ALESSANDRO,08/10/2021 12:43:54,08/10/2021 12:44:12,,,,,,
SAL,40003467,227,MICORMIG 350,3.0,sal strappi pulire est.,,,,ALESSANDRO,09/10/2021 10:43:06,09/10/2021 10:43:36,,,,,,
SAL,FNY8200269,230,MICORMIG 350,3.0,sal stagno,,,,ALESSANDRO,11/10/2021 10:16:28,11/10/2021 10:16:54,,,,,,
SAL,FNZ0051024,233,MICORMIG 350,3.0,sal stagno,,,,JARRI,12/10/2021 10:35:47,11/12/2024 16:54:02,,,,,,
SAL,IN-24549,239,MICORMIG 350,3.0,sal strappi,,,,ALESSANDRO,12/10/2021 16:15:04,12/10/2021 16:16:31,,,,,,
SAL,IN-23932,240,MICORMIG 350,3.0,sal strappi,,,,ALESSANDRO,13/10/2021 07:41:26,30/11/2021 10:45:56,,,,,,
SAL,IN-22962,244,MICORMIG 350,3.0,sal strappi,,,,ALESSANDRO,13/10/2021 12:21:52,13/10/2021 12:22:07,,,,,,
SAL,40005952,248,MICORMIG 350,3.0,sal strappi,,,,ALESSANDRO,15/10/2021 09:01:19,15/10/2021 09:01:44,,,,,,
SAL,FNY8584403,249,MICORMIG 350,3.0,sal internamente continuo,,,,ALESSANDRO,15/10/2021 09:04:48,15/10/2021 09:05:30,,,,,,
SAL,40005941,250,MICORMIG 350,1.8,sal angoli e pulire,,,,ALESSANDRO,15/10/2021 09:05:45,15/10/2021 09:05:55,,,,,,
SAL,FNX2286180,251,,1.8,sal angoli e pulire,,,,ALESSANDRO,15/10/2021 09:06:30,15/10/2021 09:06:45,,,,,,
SAL,1217K0429,254,MICORMIG 350,3.0,sal strappi pulire est.,,,,ALESSANDRO,15/10/2021 10:49:00,15/10/2021 10:49:22,,,,,,
